"assignees","author","body","closed","closedAt","comments","createdAt","id","labels","milestone","number","projectCards","projectItems","reactionGroups","state","title","updatedAt","url"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001505366' for more information of error.",true,"2026-01-15T08:08:08Z",0,"2026-01-14T17:18:00Z",3814107208,"bug","",2526,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2526/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001505366","2026-01-15T08:08:08Z","https://github.com/Ka0s-Klaus/ka0s/issues/2526"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001459931' for more information of error.",true,"2026-01-15T08:08:07Z",0,"2026-01-14T17:17:55Z",3814106955,"bug","",2525,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2525/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001459931","2026-01-15T08:08:07Z","https://github.com/Ka0s-Klaus/ka0s/issues/2525"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001498447' for more information of error.",true,"2026-01-15T08:08:07Z",0,"2026-01-14T17:17:51Z",3814106727,"bug","",2524,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2524/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001498447","2026-01-15T08:08:07Z","https://github.com/Ka0s-Klaus/ka0s/issues/2524"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001452603' for more information of error.",true,"2026-01-15T08:08:06Z",0,"2026-01-14T17:17:50Z",3814106649,"bug","",2523,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2523/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001452603","2026-01-15T08:08:06Z","https://github.com/Ka0s-Klaus/ka0s/issues/2523"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001450234' for more information of error.",true,"2026-01-15T08:08:06Z",0,"2026-01-14T17:17:40Z",3814105976,"bug","",2522,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2522/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001450234","2026-01-15T08:08:06Z","https://github.com/Ka0s-Klaus/ka0s/issues/2522"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001619743' for more information of error.",true,"2026-01-15T08:08:05Z",0,"2026-01-14T17:17:39Z",3814105926,"bug","",2521,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2521/reactions","closed","[Ka0S] JSONLINT Error detected in 21001619743","2026-01-15T08:08:05Z","https://github.com/Ka0s-Klaus/ka0s/issues/2521"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001671937' for more information of error.",true,"2026-01-15T08:08:04Z",0,"2026-01-14T17:17:39Z",3814105894,"bug","",2520,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2520/reactions","closed","[Ka0S] JSONLINT Error detected in 21001671937","2026-01-15T08:08:04Z","https://github.com/Ka0s-Klaus/ka0s/issues/2520"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001440401' for more information of error.",true,"2026-01-15T08:08:04Z",0,"2026-01-14T17:17:37Z",3814105829,"bug","",2519,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2519/reactions","closed","[Ka0S] YAMLLINT Error detected in 21001440401","2026-01-15T08:08:04Z","https://github.com/Ka0s-Klaus/ka0s/issues/2519"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001663460' for more information of error.",true,"2026-01-15T08:08:03Z",0,"2026-01-14T17:17:34Z",3814105635,"bug","",2518,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2518/reactions","closed","[Ka0S] JSONLINT Error detected in 21001663460","2026-01-15T08:08:03Z","https://github.com/Ka0s-Klaus/ka0s/issues/2518"
"","github-actions[bot]","Please check the logs 'https://github.com/Ka0s-Klaus/ka0s/actions/runs/21001338469' for more information of error.",true,"2026-01-15T08:08:03Z",0,"2026-01-14T17:17:29Z",3814105395,"bug","",2517,"","","+1=0;-1=0;confused=0;eyes=0;heart=0;hooray=0;laugh=0;rocket=0;total_count=0;url=https://api.github.com/repos/Ka0s-Klaus/ka0s/issues/2517/reactions","closed","[Ka0S] MDLINT Error detected in 21001338469","2026-01-15T08:08:03Z","https://github.com/Ka0s-Klaus/ka0s/issues/2517"
