"id","name","head_branch","head_sha","run_number","event","status","conclusion","workflow_id","url","created_at","updated_at","run_started_at"
24011978258,"Ka0s Workflow Statistics Summary","main","96e0e59e424ea6d76823f92c0e5b5355c5971b1e",610,"schedule","in_progress","unknown",153261529,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011978258",1775428400,1775428480,1775428400
24011943753,"Push on main","main","96e0e59e424ea6d76823f92c0e5b5355c5971b1e",29552,"dynamic","completed","success",151629566,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011943753",1775428282,1775428388,1775428282
24011922913,"Ka0s Inspector -> Audit","main","eaa0f1cd307488d00b73606e71ce75eb43f6896f",14969,"workflow_dispatch","completed","success",142065355,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011922913",1775428212,1775428299,1775428212
24011909293,"Push on main","main","eaa0f1cd307488d00b73606e71ce75eb43f6896f",29551,"dynamic","completed","success",151629566,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011909293",1775428164,1775428278,1775428164
24011906593,"Push on main","main","4d8ad1337a710393fd77fe8b0dc2aeba6ffacc6f",29550,"dynamic","completed","success",151629566,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011906593",1775428155,1775428257,1775428155
24011890177,"Ka0s Collect Service Logs","main","fe10344337d20dce1c518d9ee2cf1a97cec5e60d",483,"schedule","completed","success",244350788,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011890177",1775428091,1775428216,1775428091
24011887778,"Ka0s Inspector -> Audit","main","fe10344337d20dce1c518d9ee2cf1a97cec5e60d",14968,"workflow_dispatch","completed","success",142065355,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011887778",1775428083,1775428171,1775428083
24011869007,"Push on main","main","fe10344337d20dce1c518d9ee2cf1a97cec5e60d",29549,"dynamic","completed","success",151629566,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011869007",1775428012,1775428110,1775428012
24011853334,"Push on main","main","60fbaa1011a7513e97a640ce7a933e28a54b44ba",29548,"dynamic","completed","success",151629566,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011853334",1775427953,1775428058,1775427953
24011851848,"Push on main","main","f133183f212eef89d3e256a0aa613f36e6eb9541",29547,"dynamic","completed","success",151629566,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011851848",1775427947,1775428045,1775427947
24011846515,"Ka0s C0re SSH Host Connect","main","d6269d178c5ed383a8f83e1ef44d0d62251f6a7b",116,"schedule","completed","success",223902538,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011846515",1775427929,1775428087,1775427929
24011832023,"Ka0s Inspector -> Audit","main","d6269d178c5ed383a8f83e1ef44d0d62251f6a7b",14967,"workflow_dispatch","completed","success",142065355,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011832023",1775427877,1775427974,1775427877
24011831331,"Ka0s Inspector -> Audit","main","d6269d178c5ed383a8f83e1ef44d0d62251f6a7b",14966,"workflow_dispatch","completed","success",142065355,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011831331",1775427874,1775427969,1775427874
24011819471,"Push on main","main","d6269d178c5ed383a8f83e1ef44d0d62251f6a7b",29546,"dynamic","completed","success",151629566,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011819471",1775427833,1775427940,1775427833
24011800160,"Ka0s Inspector -> Audit","main","517e48145950bf87f70424c0ed77361c5e7a3a17",14965,"workflow_dispatch","completed","success",142065355,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011800160",1775427760,1775427850,1775427760
24011793138,"Push on main","main","517e48145950bf87f70424c0ed77361c5e7a3a17",29545,"dynamic","completed","success",151629566,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011793138",1775427737,1775427841,1775427737
24011787970,"Push on main","main","2ec853fcbc36feeae6a761077283d196a35b6845",29544,"dynamic","completed","success",151629566,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011787970",1775427718,1775427820,1775427718
24011785704,"Ka0s Audit Cluster Status","main","49f07e55d8a84ffbc95c6623881b494c53964b19",2222,"schedule","completed","success",230364367,"https://api.github.com/repos/Ka0s-Klaus/ka0s/actions/runs/24011785704",1775427709,1775427882,1775427709
