=== Logs for Service: postgresql-ia (Namespace: postgresql-ia) ===
=== Date: Sat Mar 28 11:27:27 UTC 2026 ===
=== Selector: app=postgresql-ia,managed-by=ka0s-core-cd ===

[pod/postgresql-ia-0/postgresql] 2026-03-28 10:50:27.681 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-28 10:53:04.320 UTC [28] LOG:  checkpoint complete: wrote 1561 buffers (9.5%); 0 WAL file(s) added, 1 removed, 1 recycled; write=156.047 s, sync=0.091 s, total=156.640 s; sync files=18, longest=0.079 s, average=0.006 s; distance=23819 kB, estimate=26852 kB
[pod/postgresql-ia-0/postgresql] 2026-03-28 11:05:27.602 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-28 11:09:57.332 UTC [28] LOG:  checkpoint complete: wrote 3455 buffers (21.1%); 0 WAL file(s) added, 0 removed, 2 recycled; write=269.311 s, sync=0.103 s, total=269.730 s; sync files=22, longest=0.099 s, average=0.005 s; distance=32988 kB, estimate=32988 kB
[pod/postgresql-ia-0/postgresql] 2026-03-28 11:10:27.366 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-28 11:10:30.529 UTC [28] LOG:  checkpoint complete: wrote 29 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.869 s, sync=0.076 s, total=3.163 s; sync files=3, longest=0.076 s, average=0.026 s; distance=0 kB, estimate=29689 kB
[pod/postgresql-ia-0/postgresql] 2026-03-28 11:15:27.626 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-28 11:15:38.044 UTC [28] LOG:  checkpoint complete: wrote 98 buffers (0.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=9.982 s, sync=0.221 s, total=10.419 s; sync files=17, longest=0.075 s, average=0.013 s; distance=579 kB, estimate=26778 kB
[pod/postgresql-ia-0/postgresql] 2026-03-28 11:20:27.108 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-28 11:24:57.364 UTC [28] LOG:  checkpoint complete: wrote 3789 buffers (23.1%); 0 WAL file(s) added, 0 removed, 2 recycled; write=269.867 s, sync=0.083 s, total=270.257 s; sync files=20, longest=0.081 s, average=0.005 s; distance=31562 kB, estimate=31562 kB
