=== Logs for Service: postgresql-ia (Namespace: postgresql-ia) ===
=== Date: Mon Mar 30 12:04:15 UTC 2026 ===
=== Selector: app=postgresql-ia,managed-by=ka0s-core-cd ===

[pod/postgresql-ia-0/postgresql] 2026-03-30 11:31:03.468 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-30 11:32:51.355 UTC [28] LOG:  checkpoint complete: wrote 853 buffers (5.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=106.663 s, sync=0.744 s, total=107.888 s; sync files=18, longest=0.248 s, average=0.042 s; distance=7081 kB, estimate=31951 kB
[pod/postgresql-ia-0/postgresql] 2026-03-30 11:36:03.617 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-30 11:40:33.396 UTC [28] LOG:  checkpoint complete: wrote 3815 buffers (23.3%); 0 WAL file(s) added, 0 removed, 2 recycled; write=269.332 s, sync=0.113 s, total=269.780 s; sync files=19, longest=0.109 s, average=0.006 s; distance=34548 kB, estimate=34548 kB
[pod/postgresql-ia-0/postgresql] 2026-03-30 11:46:03.508 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-30 11:48:44.204 UTC [28] LOG:  checkpoint complete: wrote 670 buffers (4.1%); 0 WAL file(s) added, 0 removed, 1 recycled; write=160.091 s, sync=0.312 s, total=160.697 s; sync files=20, longest=0.122 s, average=0.016 s; distance=10721 kB, estimate=32165 kB
[pod/postgresql-ia-0/postgresql] 2026-03-30 11:51:03.287 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-30 11:55:33.368 UTC [28] LOG:  checkpoint complete: wrote 2802 buffers (17.1%); 0 WAL file(s) added, 0 removed, 2 recycled; write=269.682 s, sync=0.101 s, total=270.081 s; sync files=21, longest=0.097 s, average=0.005 s; distance=30444 kB, estimate=31993 kB
[pod/postgresql-ia-0/postgresql] 2026-03-30 12:01:03.480 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-30 12:02:44.890 UTC [28] LOG:  checkpoint complete: wrote 942 buffers (5.7%); 0 WAL file(s) added, 0 removed, 0 recycled; write=100.664 s, sync=0.500 s, total=101.410 s; sync files=18, longest=0.235 s, average=0.028 s; distance=6537 kB, estimate=29447 kB
