=== Logs for Service: zabbix-server (Namespace: zabbix) ===
=== Date: Sat Apr  4 16:33:22 UTC 2026 ===
=== Selector: app=zabbix-server ===

[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260404:163218.213 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","rag-ingest-k8state-29588670-h6tt5","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260404:163218.213 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-k8config-29588670-5bqkj","cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260404:163218.515 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-k8config-29588670-5bqkj","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260404:163218.810 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","rag-ingest-telemetry-ops-29588670-gj2hf","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260404:163219.054 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-log-29588670-jrhm5","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260404:163219.120 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","rag-ingest-code-devsecops-29588670-2mjds","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    203:20260404:163219.943 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","rag-ingest-telemetry-ops-29588670-gj2hf","cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    203:20260404:163219.944 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","rag-ingest-code-devsecops-29588670-2mjds","cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260404:163220.352 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-log-29588670-jrhm5","cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    212:20260404:163308.226 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
