=== Logs for Service: postgresql-ia (Namespace: postgresql-ia) ===
=== Date: Fri Mar 27 14:48:40 UTC 2026 ===
=== Selector: app=postgresql-ia,managed-by=ka0s-core-cd ===

[pod/postgresql-ia-0/postgresql] 2026-03-27 14:05:19.527 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-27 14:09:49.272 UTC [28] LOG:  checkpoint complete: wrote 2825 buffers (17.2%); 0 WAL file(s) added, 0 removed, 1 recycled; write=269.393 s, sync=0.076 s, total=269.746 s; sync files=13, longest=0.073 s, average=0.006 s; distance=18828 kB, estimate=26756 kB
[pod/postgresql-ia-0/postgresql] 2026-03-27 14:15:19.377 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-27 14:15:21.520 UTC [28] LOG:  checkpoint complete: wrote 18 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.773 s, sync=0.103 s, total=2.143 s; sync files=3, longest=0.103 s, average=0.035 s; distance=0 kB, estimate=24080 kB
[pod/postgresql-ia-0/postgresql] 2026-03-27 14:20:19.609 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-27 14:24:45.096 UTC [28] LOG:  checkpoint complete: wrote 2650 buffers (16.2%); 0 WAL file(s) added, 1 removed, 0 recycled; write=265.093 s, sync=0.099 s, total=265.488 s; sync files=14, longest=0.096 s, average=0.008 s; distance=17859 kB, estimate=23458 kB
[pod/postgresql-ia-0/postgresql] 2026-03-27 14:35:19.310 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-27 14:39:19.013 UTC [28] LOG:  checkpoint complete: wrote 2389 buffers (14.6%); 0 WAL file(s) added, 0 removed, 1 recycled; write=239.281 s, sync=0.092 s, total=239.703 s; sync files=13, longest=0.089 s, average=0.008 s; distance=15976 kB, estimate=22710 kB
[pod/postgresql-ia-0/postgresql] 2026-03-27 14:45:19.068 UTC [28] LOG:  checkpoint starting: time
[pod/postgresql-ia-0/postgresql] 2026-03-27 14:45:22.249 UTC [28] LOG:  checkpoint complete: wrote 29 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.864 s, sync=0.071 s, total=3.182 s; sync files=3, longest=0.071 s, average=0.024 s; distance=0 kB, estimate=20439 kB
