=== Logs for Service: zabbix-server (Namespace: zabbix) ===
=== Date: Thu Apr  9 02:30:03 UTC 2026 ===
=== Selector: app=zabbix-server ===

[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260409:022319.180 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-6sqs2","cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    203:20260409:022320.024 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-6sqs2","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260409:022321.340 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-6sqs2","limits_cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    203:20260409:022322.108 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-bkhsp","limits_memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260409:022322.971 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-bkhsp","oom_killed"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260409:022324.283 item "zabbix-server:k8s_pod_metrics.sh["actions-runner-system","swarm-runners-scaleset-ka0s-p5l6k-runner-bkhsp","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    209:20260409:022358.071 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    208:20260409:022531.243 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    209:20260409:022708.043 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    212:20260409:022847.757 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
