=== Logs for Service: zabbix-server (Namespace: zabbix) ===
=== Date: Fri Apr  3 19:41:09 UTC 2026 ===
=== Selector: app=zabbix-server ===

[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    212:20260403:194036.145 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_pod_discovery.sh": Timeout while executing a shell script.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260403:194043.002 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","rag-ingest-compliance-29587400-zqmwh","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260403:194050.269 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-log-29587365-92nsg","limits_cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260403:194053.539 item "k8-node-20:net.if.out["cali4e6dc8577b1",errors]" became not supported: Cannot find information for this network interface in /proc/net/dev.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260403:194056.649 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-log-29587365-92nsg","oom_killed"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    201:20260403:194101.015 item "k8-node-20:net.if.out["cali4e6dc8577b1",dropped]" became not supported: Cannot find information for this network interface in /proc/net/dev.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260403:194101.216 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-server-29587360-kbk66","limits_memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260403:194103.682 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","rag-ingest-compliance-29587360-2cczw","limits_memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    200:20260403:194103.682 item "k8-node-20:net.if.in["cali4e6dc8577b1",dropped]" became not supported: Cannot find information for this network interface in /proc/net/dev.
[pod/zabbix-server-65c5d5b99b-6nlpw/zabbix-server]    202:20260403:194108.411 item "k8-node-20:net.if.in["cali4e6dc8577b1",errors]" became not supported: Cannot find information for this network interface in /proc/net/dev.
