=== Logs for Service: zabbix-server (Namespace: zabbix) ===
=== Date: Wed Apr  1 02:24:54 UTC 2026 ===
=== Selector: app=zabbix-server ===

[pod/zabbix-server-65c5d5b99b-68djq/zabbix-server]     42:20260401:022133.664 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-server-29583500-qkwxk","memory"]" became not supported: Value of type "string" is not suitable for value type "Numeric (unsigned)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-68djq/zabbix-server]     44:20260401:022136.837 item "zabbix-server:k8s_pod_metrics.sh["ka0s-knowledge","mongo-vectorize-server-29583500-qkwxk","cpu"]" became not supported: Value of type "string" is not suitable for value type "Numeric (float)". Value "wget: server returned error: HTTP/1.1 404 Not Found\n0"
[pod/zabbix-server-65c5d5b99b-68djq/zabbix-server]     41:20260401:022144.160 item "zabbix-server:k8s_pod_metrics.sh["kube-system","coredns-668d6bf9bc-l86hn","limits_memory"]" became supported
[pod/zabbix-server-65c5d5b99b-68djq/zabbix-server]     41:20260401:022151.158 item "zabbix-server:k8s_pod_metrics.sh["newrelic","nri-bundle-nrk8s-kubelet-nkfb9","restarts"]" became supported
[pod/zabbix-server-65c5d5b99b-68djq/zabbix-server]     51:20260401:022207.660 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
[pod/zabbix-server-65c5d5b99b-68djq/zabbix-server]     53:20260401:022232.842 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_pod_metrics.sh 'calico-system' 'csi-node-driver-dbm9t' 'memory'": Timeout while executing a shell script.
[pod/zabbix-server-65c5d5b99b-68djq/zabbix-server]     44:20260401:022233.772 item "zabbix-server:k8s_pod_metrics.sh["calico-system","csi-node-driver-dbm9t","memory"]" became not supported: Timeout while executing a shell script.
[pod/zabbix-server-65c5d5b99b-68djq/zabbix-server]     49:20260401:022331.991 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
[pod/zabbix-server-65c5d5b99b-68djq/zabbix-server]     42:20260401:022352.937 item "zabbix-server:k8s_pod_metrics.sh["calico-system","csi-node-driver-dbm9t","memory"]" became supported
[pod/zabbix-server-65c5d5b99b-68djq/zabbix-server]     49:20260401:022426.649 Failed to execute command "/usr/lib/zabbix/externalscripts/k8s_cluster_stats.sh": Timeout while executing a shell script.
